#routeName,depTime,travelTime
E->W,0,7.7829
E->W,0,9.0118
W->E,0.20481,8.1925
W->E,0.40963,9.4214
W->E,0.61444,10.036
E->W,0.81925,8.3974
W->E,1.0241,9.6262
W->E,1.0241,10.036
E->W,1.0241,8.6022
E->W,1.2289,9.2166
E->W,1.4337,9.4214
E->W,1.6385,9.831
E->W,1.6385,10.445
W->E,1.8433,9.831
W->E,1.8433,9.831
E->W,1.8433,10.65
W->E,2.0481,10.241
W->E,2.0481,10.241
E->W,2.0481,10.65
E->W,2.0481,11.47
E->W,2.4578,11.06
W->E,2.6626,9.831
W->E,2.6626,10.65
E->W,2.6626,11.06
E->W,2.6626,11.879
W->E,3.0722,10.241
W->E,3.0722,11.06
W->E,3.277,10.855
W->E,3.277,11.265
E->W,3.277,11.47
W->E,3.8915,11.265
E->W,3.8915,11.674
E->W,4.0963,12.084
W->E,4.3011,10.855
W->E,4.3011,11.47
E->W,4.3011,12.698
W->E,4.7107,11.47
W->E,4.7107,11.674
E->W,4.7107,12.494
W->E,4.9155,11.674
W->E,4.9155,11.674
E->W,4.9155,12.698
W->E,5.1203,11.674
W->E,5.3252,12.289
W->E,5.53,12.084
E->W,5.53,12.698
W->E,6.1444,11.879
W->E,6.1444,12.494
W->E,6.1444,12.494
W->E,6.1444,12.903
E->W,6.1444,12.698
E->W,6.1444,13.313
E->W,6.554,13.927
E->W,6.554,13.927
E->W,6.554,14.337
E->W,6.9637,14.132
W->E,7.1685,12.494
W->E,7.1685,12.698
W->E,7.1685,12.698
W->E,7.5781,12.289
W->E,7.5781,12.494
E->W,7.5781,14.747
E->W,8.1925,14.747
W->E,8.3974,12.289
W->E,9.4214,11.879
E->W,9.6262,13.313
E->W,9.6262,14.747
W->E,10.036,11.47
W->E,10.036,11.879
W->E,10.855,11.06
W->E,11.47,10.855
W->E,11.47,10.855
W->E,12.084,10.241
W->E,12.084,10.65
W->E,13.313,9.831
W->E,14.132,9.0118
W->E,15.156,8.807
W->E,16.18,9.831
W->E,16.18,9.831
W->E,16.18,10.855
W->E,17,10.036
W->E,17,10.241
W->E,17.819,10.036
W->E,18.228,9.6262
