#routeName,depTime,travelTime
W->E,0,5.3252
W->E,0.40963,7.5781
W->E,0.40963,7.5781
W->E,0.40963,8.1925
W->E,0.81925,7.7829
E->W,0.81925,8.1925
E->W,0.81925,9.0118
E->W,0.81925,9.831
W->E,1.2289,7.5781
W->E,1.2289,8.1925
E->W,1.2289,10.445
E->W,1.4337,11.265
E->W,1.4337,11.674
W->E,1.6385,7.9877
W->E,1.6385,8.3974
W->E,1.6385,8.807
W->E,1.8433,8.6022
W->E,1.8433,8.6022
E->W,2.0481,11.47
E->W,2.0481,12.084
W->E,2.2529,8.1925
W->E,2.4578,8.807
W->E,2.6626,8.807
W->E,2.6626,9.4214
W->E,2.6626,9.4214
E->W,2.6626,11.879
E->W,2.6626,12.289
E->W,3.0722,12.494
W->E,3.277,8.807
W->E,3.4818,9.0118
W->E,3.4818,9.2166
W->E,4.0963,8.807
W->E,4.0963,8.807
W->E,4.0963,9.2166
E->W,4.0963,11.47
W->E,4.3011,9.2166
W->E,4.5059,9.4214
W->E,4.5059,10.036
W->E,4.7107,9.831
W->E,4.7107,10.241
W->E,5.3252,9.6262
W->E,5.3252,10.241
W->E,5.3252,10.445
W->E,5.7348,10.036
W->E,6.1444,10.855
W->E,6.7588,10.241
W->E,6.7588,10.445
W->E,6.7588,10.65
W->E,7.5781,10.241
W->E,7.5781,10.241
W->E,8.1925,10.445
W->E,8.6022,10.036
W->E,8.6022,11.06
W->E,9.831,9.831
W->E,10.036,9.6262
W->E,10.445,9.6262
W->E,11.265,10.036
W->E,11.265,10.036
W->E,11.47,10.036
W->E,12.494,9.2166
