#routeName,depTime,travelTime
W->E,0,5.53
W->E,0,6.1444
W->E,0,7.3733
W->E,0.20481,7.7829
W->E,0.20481,7.9877
E->W,0.61444,9.6262
E->W,0.81925,10.241
W->E,1.0241,7.5781
E->W,1.0241,10.036
E->W,1.0241,10.65
W->E,1.2289,7.3733
W->E,1.2289,7.7829
W->E,1.2289,8.3974
W->E,1.2289,8.3974
W->E,1.2289,8.6022
W->E,1.4337,8.3974
W->E,1.4337,9.2166
E->W,1.6385,10.036
E->W,1.6385,10.65
E->W,1.6385,11.06
W->E,2.2529,8.3974
W->E,2.2529,8.3974
W->E,2.2529,8.3974
E->W,2.2529,11.265
W->E,2.4578,8.1925
W->E,2.4578,9.2166
E->W,2.6626,10.855
E->W,2.6626,11.265
W->E,2.8674,8.807
W->E,3.0722,8.807
W->E,3.0722,9.2166
E->W,3.0722,11.879
E->W,3.0722,11.879
W->E,3.4818,9.6262
W->E,3.6866,9.6262
W->E,3.6866,9.6262
E->W,3.8915,11.265
E->W,3.8915,11.674
E->W,3.8915,12.289
E->W,3.8915,12.698
W->E,4.0963,9.831
W->E,4.5059,9.831
W->E,4.7107,10.036
W->E,5.1203,9.6262
W->E,5.1203,10.036
E->W,5.1203,11.47
W->E,5.53,10.036
E->W,5.53,11.06
W->E,6.3492,9.2166
W->E,6.3492,10.036
W->E,6.554,10.036
W->E,6.554,10.036
W->E,6.554,10.241
W->E,7.3733,10.036
W->E,7.3733,10.036
W->E,8.1925,9.4214
W->E,8.1925,10.445
W->E,9.0118,9.6262
W->E,9.831,9.6262
W->E,9.831,10.036
