#routeName,depTime,travelTime
W->E,0,5.7348
E->W,0,8.1925
E->W,0,9.2166
W->E,0.20481,7.5781
E->W,0.20481,9.4214
W->E,0.81925,7.5781
W->E,0.81925,9.2166
W->E,0.81925,9.2166
E->W,0.81925,9.2166
W->E,1.2289,9.0118
W->E,1.2289,9.4214
W->E,1.2289,9.831
E->W,1.2289,9.6262
E->W,1.2289,9.831
E->W,1.2289,10.445
W->E,1.6385,10.241
W->E,1.6385,10.65
W->E,1.8433,10.65
E->W,1.8433,9.831
E->W,1.8433,10.241
E->W,1.8433,10.855
W->E,2.4578,10.855
W->E,2.4578,11.06
E->W,2.4578,10.65
E->W,2.4578,11.265
E->W,2.4578,11.47
W->E,2.8674,11.265
W->E,2.8674,11.265
W->E,2.8674,11.879
E->W,2.8674,11.47
W->E,3.277,11.47
E->W,3.277,11.674
E->W,3.6866,11.265
W->E,3.8915,11.47
W->E,3.8915,11.879
E->W,4.0963,11.265
E->W,4.0963,11.674
W->E,4.3011,11.879
W->E,4.3011,12.084
W->E,4.3011,12.084
W->E,4.3011,13.108
E->W,4.5059,11.47
E->W,4.7107,11.674
E->W,4.7107,12.084
W->E,4.9155,12.903
W->E,4.9155,13.313
E->W,5.1203,12.289
E->W,5.1203,12.289
E->W,5.53,12.084
W->E,5.7348,12.494
W->E,5.7348,13.313
E->W,5.9396,11.674
E->W,5.9396,12.494
W->E,6.1444,13.108
E->W,6.1444,12.289
W->E,6.554,12.698
E->W,6.7588,12.084
E->W,6.7588,12.084
E->W,6.7588,12.903
W->E,6.9637,12.903
W->E,7.1685,13.108
W->E,7.1685,13.108
E->W,7.1685,13.313
E->W,7.3733,13.108
E->W,7.3733,13.723
W->E,7.7829,13.108
W->E,7.9877,12.903
W->E,7.9877,13.108
W->E,8.1925,13.313
W->E,8.1925,13.313
E->W,8.6022,12.494
E->W,8.6022,13.108
E->W,9.4214,12.289
E->W,9.4214,12.903
E->W,9.831,12.903
W->E,10.036,12.698
W->E,10.036,13.723
W->E,10.036,13.723
W->E,10.036,13.723
W->E,10.036,13.723
W->E,10.036,13.723
W->E,10.036,13.723
E->W,10.445,12.698
E->W,11.265,12.289
E->W,11.265,12.289
E->W,11.879,12.698
E->W,12.698,11.879
E->W,12.698,11.879
