#routeName,depTime,travelTime
W->E,0,9.0118
W->E,0,9.831
W->E,0,10.036
E->W,0,9.6262
W->E,0.40963,10.241
E->W,0.40963,10.036
E->W,0.40963,10.855
E->W,0.40963,11.674
E->W,0.61444,11.674
W->E,0.81925,10.241
E->W,0.81925,12.494
W->E,1.2289,10.036
W->E,1.2289,10.036
W->E,1.2289,10.855
W->E,1.4337,10.65
E->W,1.6385,12.289
E->W,1.6385,12.698
E->W,1.6385,13.108
W->E,1.8433,10.65
E->W,1.8433,13.723
E->W,1.8433,13.723
W->E,2.2529,10.65
W->E,2.2529,10.65
W->E,2.4578,10.855
E->W,2.4578,14.132
E->W,2.4578,14.337
E->W,2.4578,14.747
W->E,2.8674,10.855
W->E,3.0722,10.855
W->E,3.0722,10.855
W->E,3.277,11.265
W->E,3.277,11.47
E->W,3.277,13.927
E->W,3.277,14.132
E->W,3.277,14.542
W->E,3.4818,11.674
E->W,3.4818,14.951
E->W,3.6866,14.747
E->W,3.6866,15.566
W->E,4.5059,10.65
W->E,4.5059,10.65
W->E,4.5059,11.265
E->W,4.7107,14.951
E->W,4.7107,15.361
W->E,4.9155,10.855
W->E,5.1203,11.47
W->E,5.1203,11.47
W->E,5.53,11.265
W->E,5.53,11.265
E->W,5.53,15.361
E->W,5.53,15.771
E->W,5.53,17
W->E,5.9396,10.855
W->E,5.9396,11.47
E->W,6.1444,16.795
W->E,6.554,11.47
W->E,6.554,11.47
W->E,6.554,11.47
W->E,6.554,11.47
W->E,7.7829,10.445
W->E,7.7829,11.265
W->E,7.7829,11.265
W->E,7.7829,12.494
W->E,7.7829,12.698
W->E,8.6022,11.879
W->E,8.6022,12.289
W->E,9.0118,11.879
W->E,9.6262,11.674
W->E,9.6262,12.289
W->E,10.241,11.674
W->E,10.855,11.674
W->E,10.855,11.674
W->E,10.855,11.674
W->E,12.494,10.445
W->E,12.494,10.445
W->E,12.494,11.06
W->E,12.494,11.265
W->E,13.723,10.241
W->E,14.132,9.831
W->E,15.975,10.65
W->E,15.975,10.65
W->E,16.18,11.47
W->E,17.204,10.445
W->E,17.204,10.65
W->E,17.204,10.65
W->E,18.228,9.831
W->E,18.843,9.6262
