#routeName,depTime,travelTime
W->E,0,8.1925
W->E,0,9.2166
W->E,0.20481,10.65
W->E,0.20481,10.65
W->E,1.0241,10.036
W->E,1.2289,10.036
W->E,1.2289,10.036
W->E,1.2289,10.241
W->E,1.4337,10.65
W->E,1.8433,10.241
W->E,2.0481,10.445
W->E,2.2529,10.445
W->E,2.2529,10.65
W->E,2.4578,10.855
W->E,2.6626,10.65
W->E,2.6626,11.06
W->E,2.8674,11.06
W->E,2.8674,11.674
W->E,3.4818,11.06
W->E,3.4818,11.265
W->E,3.6866,11.47
W->E,3.8915,11.265
W->E,4.3011,10.855
W->E,4.5059,10.855
W->E,4.7107,11.06
W->E,4.9155,11.265
W->E,5.9396,10.65
W->E,5.9396,10.65
W->E,6.1444,10.65
W->E,6.3492,10.855
W->E,6.3492,11.674
W->E,6.3492,11.674
W->E,6.9637,11.265
W->E,7.3733,10.855
W->E,7.3733,11.265
W->E,7.3733,11.265
W->E,7.3733,11.265
W->E,7.5781,11.47
W->E,7.7829,11.879
W->E,8.1925,11.674
W->E,8.1925,11.879
W->E,8.807,11.265
W->E,8.807,11.47
W->E,9.0118,11.879
W->E,9.4214,11.47
W->E,10.855,10.445
W->E,10.855,10.65
W->E,11.06,10.445
W->E,11.265,10.855
W->E,11.879,10.241
W->E,12.084,10.241
W->E,12.698,10.036
W->E,13.108,10.445
W->E,13.518,10.036
W->E,13.518,10.036
W->E,13.927,9.831
W->E,13.927,10.241
W->E,14.337,10.241
W->E,14.337,10.241
W->E,14.747,10.855
