#routeName,depTime,travelTime
W->E,0,5.3252
W->E,0.40963,5.9396
E->W,0.40963,8.3974
W->E,0.61444,6.554
E->W,0.61444,9.0118
W->E,0.81925,6.9637
E->W,0.81925,9.2166
W->E,1.2289,6.554
E->W,1.2289,9.4214
E->W,1.2289,9.4214
W->E,1.6385,7.3733
W->E,1.6385,7.7829
W->E,1.8433,7.5781
W->E,1.8433,7.9877
E->W,1.8433,9.6262
E->W,1.8433,9.6262
W->E,2.0481,8.1925
E->W,2.0481,10.241
W->E,2.2529,8.6022
E->W,2.4578,10.241
E->W,2.4578,10.65
E->W,2.8674,10.241
W->E,3.0722,8.3974
W->E,3.0722,8.807
W->E,3.0722,9.2166
W->E,3.277,9.0118
W->E,3.277,9.4214
E->W,3.4818,10.036
E->W,3.4818,10.65
E->W,3.4818,10.65
W->E,3.6866,9.2166
E->W,3.8915,10.855
W->E,4.0963,9.4214
W->E,4.0963,10.241
E->W,4.0963,11.47
E->W,4.0963,11.674
W->E,4.5059,9.831
W->E,4.7107,10.036
W->E,4.9155,10.241
W->E,4.9155,10.445
E->W,5.1203,10.65
E->W,5.1203,10.65
E->W,5.1203,10.855
W->E,5.3252,10.241
W->E,5.3252,10.445
W->E,5.3252,11.06
W->E,5.7348,11.674
W->E,5.7348,11.674
W->E,5.9396,11.47
E->W,5.9396,11.265
E->W,5.9396,11.265
W->E,6.9637,10.855
W->E,6.9637,11.674
E->W,7.1685,10.445
W->E,7.3733,11.265
E->W,7.3733,10.241
W->E,7.7829,12.084
W->E,8.1925,11.674
W->E,10.036,11.06
W->E,10.241,10.855
