#routeName,depTime,travelTime
W->E,0,4.9155
E->W,0,8.1925
E->W,0,8.807
W->E,0.20481,5.9396
W->E,0.20481,6.3492
E->W,0.20481,9.4214
E->W,0.20481,9.6262
W->E,0.40963,7.3733
W->E,0.40963,8.3974
W->E,0.81925,7.9877
W->E,0.81925,8.807
E->W,0.81925,9.2166
W->E,1.0241,8.807
W->E,1.2289,9.0118
W->E,1.2289,9.0118
E->W,1.2289,9.2166
E->W,1.2289,9.4214
E->W,1.2289,10.036
W->E,1.6385,9.2166
E->W,1.6385,10.036
E->W,1.8433,10.036
E->W,1.8433,10.445
E->W,1.8433,10.445
W->E,2.0481,9.2166
E->W,2.0481,10.65
E->W,2.0481,11.06
W->E,2.2529,9.0118
W->E,2.2529,9.6262
E->W,2.4578,10.855
W->E,2.6626,9.831
E->W,2.8674,10.65
E->W,2.8674,11.47
W->E,3.0722,10.241
W->E,3.4818,10.241
W->E,3.6866,11.06
W->E,3.6866,11.265
W->E,3.6866,11.47
E->W,3.6866,10.855
W->E,3.8915,11.265
W->E,4.0963,11.265
E->W,4.0963,10.445
E->W,4.0963,10.445
E->W,4.0963,11.265
W->E,4.3011,11.06
E->W,4.9155,10.855
E->W,4.9155,11.47
E->W,4.9155,12.084
W->E,5.1203,11.265
W->E,5.1203,11.47
W->E,5.1203,12.084
W->E,5.53,11.674
W->E,5.9396,11.47
W->E,6.1444,11.879
W->E,6.1444,12.084
E->W,6.3492,11.06
E->W,6.3492,11.06
E->W,6.3492,11.674
E->W,6.9637,11.47
E->W,8.1925,10.65
E->W,8.1925,11.47
