#routeName,depTime,travelTime
W->E,0,5.53
W->E,0,7.1685
W->E,0.20481,7.3733
W->E,0.20481,7.7829
E->W,0.61444,9.2166
E->W,0.61444,11.06
W->E,0.81925,7.3733
E->W,0.81925,11.879
W->E,1.0241,7.3733
W->E,1.0241,8.1925
W->E,1.0241,9.0118
W->E,1.2289,8.807
W->E,1.4337,8.6022
W->E,1.4337,8.807
E->W,1.4337,11.265
E->W,1.6385,11.674
W->E,1.8433,8.6022
W->E,1.8433,8.807
E->W,1.8433,12.494
W->E,2.2529,8.807
W->E,2.2529,9.4214
W->E,2.8674,9.4214
W->E,3.0722,9.2166
W->E,3.277,9.6262
W->E,3.277,10.036
W->E,3.6866,9.6262
W->E,3.6866,10.241
W->E,3.6866,10.241
W->E,4.0963,10.036
W->E,4.3011,10.445
W->E,4.5059,10.241
W->E,4.7107,10.445
W->E,4.7107,10.445
W->E,5.1203,10.445
W->E,5.3252,10.241
W->E,5.3252,10.445
W->E,5.53,10.241
W->E,5.53,10.445
W->E,6.1444,10.241
W->E,6.1444,10.65
W->E,6.554,10.65
W->E,6.554,10.65
W->E,6.554,10.855
W->E,6.7588,11.674
W->E,6.7588,11.674
W->E,7.5781,10.855
W->E,7.7829,11.06
W->E,7.7829,11.674
W->E,7.9877,11.674
W->E,7.9877,11.674
W->E,8.3974,12.494
W->E,9.0118,12.289
W->E,9.4214,12.698
W->E,10.445,11.674
W->E,10.65,11.47
W->E,11.06,11.47
W->E,11.47,11.879
W->E,11.674,11.674
W->E,11.674,11.674
W->E,12.903,10.445
