#routeName,depTime,travelTime
W->E,0,7.1685
W->E,0,7.3733
W->E,0,8.6022
W->E,0,9.6262
E->W,0.40963,8.3974
E->W,0.40963,9.4214
E->W,1.0241,9.6262
E->W,1.0241,10.036
W->E,1.2289,8.6022
W->E,1.2289,8.6022
W->E,1.2289,9.4214
E->W,1.4337,10.65
E->W,1.8433,10.855
E->W,1.8433,12.494
E->W,2.0481,12.698
E->W,2.0481,13.518
W->E,2.2529,8.3974
W->E,2.2529,8.807
W->E,2.2529,9.0118
W->E,2.2529,9.2166
W->E,2.6626,9.4214
W->E,2.8674,9.2166
W->E,3.0722,9.4214
E->W,3.0722,13.108
W->E,3.277,9.6262
E->W,3.277,13.723
W->E,3.4818,10.036
E->W,3.4818,13.518
E->W,3.4818,14.337
E->W,3.4818,15.361
W->E,3.6866,10.445
W->E,3.6866,10.65
E->W,3.6866,15.361
W->E,4.5059,9.831
W->E,4.5059,9.831
W->E,4.5059,9.831
W->E,4.7107,10.241
W->E,4.9155,10.036
W->E,5.1203,9.831
W->E,5.1203,10.445
E->W,5.1203,14.542
E->W,5.1203,14.951
E->W,5.1203,15.361
W->E,5.3252,10.65
W->E,5.53,10.65
W->E,5.53,10.65
W->E,5.53,10.65
W->E,5.53,11.265
W->E,5.9396,10.855
W->E,5.9396,11.06
W->E,6.1444,11.265
W->E,6.3492,11.47
W->E,6.7588,11.265
W->E,6.9637,11.06
W->E,6.9637,11.265
W->E,7.3733,11.06
W->E,7.3733,11.47
W->E,7.9877,10.855
W->E,8.3974,10.855
W->E,8.3974,11.06
W->E,8.807,10.855
W->E,9.4214,10.65
W->E,9.4214,11.06
W->E,9.6262,11.06
W->E,10.036,10.65
W->E,10.445,10.241
W->E,10.855,10.241
W->E,11.06,10.445
W->E,11.06,10.65
W->E,11.674,10.036
W->E,11.674,10.855
W->E,11.879,10.65
W->E,11.879,11.06
W->E,12.289,10.855
W->E,12.698,10.445
W->E,13.108,10.445
W->E,14.337,10.445
W->E,14.951,9.831
W->E,15.361,9.6262
W->E,15.771,9.2166
W->E,16.795,10.036
W->E,16.795,10.036
W->E,17.409,10.445
W->E,19.252,8.6022
W->E,19.457,8.3974
W->E,20.277,9.0118
